name,summary,description,website,industry,size,founded
Braintrust,Braintrust is the first decentralized Web3 talent network that connects tech freelancers with the world's leading brands,"Braintrust is the first decentralized Web3 talent network that connects skilled, vetted knowledge workers with the world’s leading companies. The community that relies on Braintrust to find work are the same people who own and build it, ensuring the network always serves the needs of its users, instead of a centrally-controlled corporation. And because the community of knowledge workers and contributors earns ownership and control of Braintrust through its native BTRST token for their contributions to the network and its growth, new Talent and jobs have participated in the network at record speeds. 

Braintrust has over 400,000+ community members, with knowledge workers and project contributors across the world. Braintrust is trusted by hundreds of Fortune 1000 global enterprises including Nestlé, Porsche, Atlassian, Goldman Sachs, and Nike. For more information, visit: www.braintrust.com.

BTRST is available on Coinbase.com and in the Coinbase Android and iOS apps. Coinbase customers can trade, send, receive, or store BTRST in most Coinbase-supported regions. For more information on Braintrust and the BTRST token, read the “Braintrust: The Decentralized Talent Network” whitepaper.",http://www.usebraintrust.com,Software Development,11-50 employees,2018
TECHY STAFFING,not-found,"Techy Staffing Solutions provides a unique portfolio of strategy, design, application development, IT Consulting, Engineering, and staffing services for IT Infrastructure Management and industry-oriented business process.

We are based out of India and the United States with the best in providing quality resources to companies based all over the world 

Our expertise in providing best-in-class resources will keep you far ahead of your competitors in the Financial, ERP, and IT industries where we perform extremely well.

We provide services for your immediate and critical requirements as we have professional expertise & skill in different domain knowledge

Technologies we serve 

 - DevOps, Cloud, BigData, DataScience, RPA, UI/UX Design/Development,
 Fullstack/Micro Services, SalesForce etc 

Focus - Building Cross Border EcoSystems, Early Stage Start Up Mentoring, Strategic Management, Client Development, Operations, Talent Acquisition and Client Servicing/Management:

• Formulation & implementation of Sales/Marketing Strategy, devising Client penetration Strategy, Building Client Relationship, Client engagements.

• Managing a team of Account Management, Client Engagement, Talent Acquisition/Recruiter, RPO, Presales and Business Development for Staff Augmentation, SOW services using leading MSP partners for servicing fortune 5000 Clients.

• Growing and managing Value based Equity Investment, alternative investments & Private Equity Investment.

• Value based Fundamental research Investing for Blue Chip Fortune 5000 along with Small Cap, Mid Cap and Private Companies.

• Opportunities in several industries including IT, ITES, Healthcare, REIT, BFSI, Manufacturing, Pharmaceutical, and Consumer Services.

Supporting MSP, VMS,RPO driven workflow for Staffing/SOW",http://www.techystaffing.com/,IT Services and IT Consulting,11-50 employees,2020
SynergisticIT,The Best Programmers in the Bay Area.....Period!,"SynergisticIT is a Software Development, IT Recruitment and IT Upskill Firm based in California.
Founded in 2010
Home of the Best Data Scientists and Software Programmers in the Bay Area",https://www.synergisticit.com,IT Services and IT Consulting,201-500 employees,2010
Mindpal,"Candidates: Meet your Job AI CoPilot | 
Recruiters: Speed up hiring with videos, tests, and powerful search","AI CoPilot for Jobs and Hires

Candidates: AI CoPilot for Job Seekers, Free Forever

Recruiters: Hire for that next role in minutes with Robotic Process Automation and AI/GPT",https://mindpal.co,Staffing and Recruiting,51-200 employees,2022
Steneral Consulting,Lets Grow Together,"How do you build trust? You deliver on expectations. Not for a year. Not just during boom times. But every day. For weeks. For months. For decades. That's how Steneral is built on its core values.

Our Core Values:
Integrity: Integrity is ingrained in what we believe and more importantly what we practice. In the staffing industry it is important we properly represent both our clients and candidates. Our option requires a team that is built on integrity. At Steneral Consulting we will act with integrity and honesty in everything we do.
Quality: In order to provide our clients with top-level quality candidates we have crafted our process. This process allows us to pre-screen candidates offering our clients access to top-level quality in their requirements.
Team: Unlike many other recruiting firms Steneral Consulting’s internal staff and the process have a team at its core. We work with one another to find our clients the best talent. At Steneral Consulting, we want an environment that is positive where people will enjoy working. We will operate as a team where accountability, trust, and cooperation will flourish.",http://www.steneral.com,IT Services and IT Consulting,51-200 employees,2016
Lorven Technologies Inc.,Connecting Human Ingenuity with Technology,"Lorven Technologies, Inc. is a highly recognized provider of professional technology consultancy in the US. We provide high quality and cost effective strategic solutions to our clients supported by superior staffing and training services.

We offer a wide range of services in the areas of analysis, design, development and maintenance of various information systems. Lorven excels in providing talented, dedicated, and knowledgeable professionals with proven industry experience to our clients. We are committed to building long term relationships with our clients through quality service and concrete results, so that our clients are able to achieve greater excellence. Total customer focus, commitment to quality, and multi-technology expertise are our key focus to satisfy our customers. Superior project management skills, extensive experience in managing multi-location development combined with continuous process improvement efforts, are the traits of our delivery methodology.

Lorven delivers innovative and effective technology solutions in a timely, cost-effective, and value-added manner. Our processes, techniques, people, and attitude strive to internalize our client's business domain in order to be able to deliver a level of innovation and acumen that is unparalleled. Our success is defined by our client's success and our core values serve as the corner stones of our project delivery approach.",http://www.lorventech.com,IT Services and IT Consulting,51-200 employees,2001
Adame Services,Gain the Adame Advantage,"Adame Services is Wyoming’s Top Professional Staffing Firm specializing in the placement of talented professionals into challenging, career-enriching opportunities. We provide multiple avenues of employment to include contract, contract-to-hire and direct placement. Our recruiters will work with you to help land your first job or your dream job and strive to always affect people's lives in a positive way.

At Adame Services, our business is people. Relationships are at the center of everything we do. A successful partnership is only as strong as the relationship built. Adame Services has established and maintained relationships with our clients, consultants, and internal employees in an effort to create an unparalleled experience. 

We’re your trusted partner for delivering on technology initiatives through Experience-Driven Staffing. We provide technology solutions ranging from contingent labor to Managed & Professional Services, and our Workforce Transformation programs, Elevate and Project Patriot, which addresses workforce talent gaps. With a growing national presence, Adame Services is working to redefine what to expect from an IT services provider. 

Adame Services provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, age, sex, citizenship, disability, genetic information, gender, sexual orientation, gender identity, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws",http://www.adameservices.com,Staffing and Recruiting,51-200 employees,2012
MedReview Inc.,MedReview Inc. helps payors identify inaccurate medical claims to save millions in overpayments.,"MedReview is a different type of payment integrity company. As a physician-led organization, our doctors review and document every claim we reassign, resulting in the highest savings per review and the lowest appeal overturn rate in the industry. Our advanced algorithms are enriched by machine learning and decades of clinical and claims data, enabling us to target claims with the highest potential for inaccuracy and abuse.

With a passion for ensuring claims fairly represent the care provided, MedReview offers pre- and post-pay billing audits with clinical reviews that save millions of dollars a year for our clients. Our full range of services include industry-leading solutions in payment integrity, utilization management and quality assurance.",https://www.medreview.us/,Hospitals and Health Care,201-500 employees,1974
Gersh Autism,"Changing the world, one life at a time!","The Gersh Organization is dedicated to changing the lives of children on the autism spectrum. It is built on Kevin Gersh's personal experience and professional commitment to provide opportunities, inspiration, and guidance for every child to reach their full potential, regardless of the challenges they face.

Our family of programs provide support to children on the autism spectrum and their families:
•	Gersh Academy
•	Gersh International 
•	Gersh Experience
•	Legacy by Gersh (Residential Autism Community - Education, Therapy, Vocational Training)
•	Gersh Academy at West Hills
•	Therapy Solutions

We change lives.",http://gershautism.com,Education Administration Programs,201-500 employees,1991
Hireblox,Quality hiring simplified,"Hireblox has the knowledge, experience, network and commitment to serve all our clientele. Whether you are looking for a job or recruiting new employees or contract hires for your company, our expert team members will offer you their full attention and guidance so that you can make the most out of our services. Contact us to learn more. #hireblox #jobs #hiring #recruitment",www.hireblox.com,Staffing and Recruiting,51-200 employees,
